facility_name,street1,city,postal_code,country,latitude,longitude,phone
Sumner Avenue Houses Child Health Center,47 MARCUS GARVEY AVENUE,BROOKLYN,11206,,,,
Crown Heights Health Center,1218 PROSPECT PLACE,BROOKLYN,11213,,,,
CVS,3775 E. TREMONT AVE.,BRONX,10465,,,,
San Juan Pharmacy,960 Amsterdam Avenue,Manhattan,10025,,,,
Mobile Medical Office 4,574 MIDLAND AVENUE,STATEN ISLAND,10306,,,,
Walgreens Drug Store,4915 Flatlands Ave,Brooklyn,11234,,,,
Stop and Shop Pharmacy,2965 Cropsey Avenue,Brooklyn,11214,,,,
CVS,150 EAST 42ND ST.,NEW YORK,10017,,,,
Arrow Pharmacy,883 9th Avenue,Manhattan,10019,,,,
Stop and Shop Pharmacy,31-06 Farrington Street,Flushing,11354,,,,
Bayridge Pharmacy (SBSC),6910 3rd Avenue,Brooklyn,11209,,,,
123 (We Care pharmacy),764 Burke Avenue,Bronx,10467,,,,
CVS,700 EXTERIOR ST,BRONX,10451,,,,
Rite Aid Pharmacy,7821 3rd Avenue,Brooklyn,11209,,,,
Rite Aid Pharmacy,58-01 Queens Boulevard,Queens,11377,,,,
Duane Reade,95 WALL ST,NEW YORK,10005,,,,
Rite Aid Pharmacy,2063 Bartow Avenue,Bronx,10475,,,,
Walgreens Drug Store,353 West 57th Street,Manhattan,10019,,,,
Duane Reade,4 PARK AVE,NEW YORK,10016,,,,
Advantagecare Physicans Medical Office,740 64 STREET,740 64 STREET,11220,,,,
Walgreens Drug Store,7815 Northern Boulevard,Queens,11372,,,,
CVS,168 MONTAGUE ST.,BROOKLYN,11201,,,,
Duane Reade,352 GREENWICH ST,NEW YORK,10013,,,,
Duane Reade,598 BROADWAY,NEW YORK,10012,,,,
Seventh Elm Drugs,56 7th Avenue,Manhattan,10011,,,,
Duane Reade,585 2ND AVE,NEW YORK,10016,,,,
Marble Hill Pharmacy Corp.,5277A Broadway,Bronx,10463,,,,
Duane Reade,131 8TH AVE,NEW YORK,10011,,,,
Lincoln Place Pharmacy,1135 Eastern Parkway,Brooklyn,11213,,,,
Duane Reade,305 BROADWAY,NEW YORK,10007,,,,
Rite Aid Pharmacy,1299 2nd Avenue,Manhattan,10065,,,,
Walgreens Drug Store,83-45  Langdale Street,Queens,11004,,,,
Walgreens Drug Store,112-55 Farmers Blvd.,Queens,11412,,,,
Morrisania Center,1225 GERARD AVENUE,BRONX,10452,,,,
CVS,2182 BROADWAY,NEW YORK,10024,,,,
Rite Aid Pharmacy,3700 Junction Boulevard,Queens,11368,,,,
Junction Medical Center,34-33 JUNCTION BOULEVARD,QUEENS,11372,,,,
CVS,130 DYCKMAN STREET,NEW YORK,10040,,,,
Duane Reade,2681 BROADWAY,NEW YORK,10025,,,,
CVS,215 PARK AVENUE SOUTH,NEW YORK,10003,,,,
"Papas Pharmacy,llc",3979 Laconia Avenue,Bronx,10466,,,,
Walgreens Drug Store,2575 Broadway,Manhattan,10025,,,,
CVS,743 AMSTERDAM AVENUE,NEW YORK,10025,,,,
U.N. Plaza Pharmacy ,800 2nd Avenue,Manhattan,10017,,,,
Rite Aid Pharmacy,650 Castle Hill Avenue,Bronx,10473,,,,
Rite Aid Pharmacy,6201 Fourth Avenue,Brooklyn,11220,,,,
The Floating Hospital,41-43 CRESCENT STREET,LONG ISLAND CITY,11101,,,,
Duane Reade,1235 LEXINGTON AVE,NEW YORK,10028,,,,
Jacobi Hospital,1400 PELHAM PARKWAY SOUTH,BRONX,10461,,,,
Advantagecare Physicans Medical Office,88-06 55 AVENUE,88-06 55 AVENUE,11373,,,,
Myrtle Drugs,5518 Myrtle Avenue,Ridgewood,11385,,,,
American Pharmacy,5524 8th Avenue,Brooklyn,11220,,,,
Stapleton Child Health Center,111 CANAL STREET,STATEN ISLAND,10304,,,,
Top Choice Pharmacy,65-05 Myrtle Avenue,Glendale,11385,,,,
Rite Aid Pharmacy,57 East Burnside Avenue,Bronx,10453,,,,
Duane Reade,16 COURT ST,BROOKLYN,11241,,,,
Walgreens Drug Store,1551 Richmond Avenue,Staten Island,10314,,,,
Duane Reade,1187 1ST AVE,NEW YORK,10065,,,,
Rite Aid Pharmacy,892 Flatbush Avenue,Brooklyn,11226,,,,
Rite Aid Pharmacy,65-35  Woodhaven Blvd,Queens,11374,,,,
Rite Aid Pharmacy,9738 Seaview Avenue,Brooklyn,11236,,,,
Duane Reade,"415 Broadway, Frnt. A,",NEW YORK,10013,,,,
CVS,6502-6510 18TH AVENUE,BROOKLYN,11204,,,,
Rite Aid Pharmacy,50-15  Roosevelt Avenue,Queens,11377,,,,
Rite Aid Pharmacy,650 East Tremont Avenue,Bronx,10457,,,,
Duane Reade,1401 KINGS HWY,BROOKLYN,11229,,,,
Rite Aid Pharmacy,691 Co-op City Boulevard,Bronx,10475,,,,
Stop and Shop Pharmacy,1351 Forest Avenue,Staten Island,10302,,,,
Duane Reade,2141 NOSTRAND AVE,BROOKLYN,11210,,,,
Duane Reade,80 MAIDEN LN,NEW YORK,10038,,,,
Rite Aid Pharmacy,1710 Crosby Avenue,Bronx,10461,,,,
Duane Reade,16004 JAMAICA AVE,JAMAICA,11432,,,,
Athenas Pharmacy,32-24 Steinway Street.,Astoria,11103,,,,
Bliss Pharmacy,1590 Madison Avenue,New York,10029,,,,
Rite Aid Pharmacy,182 Smith Street,Brooklyn,11201,,,,
Drug Mart II LLC,4873 Broadway,Manhattan,10034,,,,
City Chemists,129 Montague Street,Brooklyn,11201,,,,
Rite Aid Pharmacy,506 Utica Avenue,Brooklyn,11203,,,,
CVS,282 EAST 149TH STREET,BRONX,10451,,,,
Duane Reade,200 WATER ST,NEW YORK,10038,,,,
Duane Reade,771 8TH AVE,NEW YORK,10036,,,,
133rd Street Pharmacy,1473 Amsterdam Avenue,New York,10027,,,,
Rite Aid Pharmacy,3040 Eastchester Road,Bronx,10469,,,,
Family Pharmacy and Surgical,2754 3rd Avenue,Bronx,10455,,,,
Duane Reade,2265 RALPH AVE,BROOKLYN,11234,,,,
Bright Pharmacy,227 Brighton Beach Avenue,Brooklyn,11235,,,,
Duane Reade,941 SOUTHERN BLVD,BRONX,10459,,,,
Rite Aid Pharmacy,4232 Baychester Avenue,Bronx,10466,,,,
Careway Pharmacy inc,1174 Flatbush Avenue,Brooklyn,11226,,,,
CVS,1688 WESTCHESTER AVE.,BRONX,10472,,,,
Grove Drugs-J.D. Pharmacy,302 West 12th Street,Manhattan,10014,,,,
Walgreens Drug Store,379 Myrtle Avenue,Brooklyn,11205,,,,
Stop and Shop Pharmacy,1720 Eastchester Road,Bronx,10461,,,,
Duane Reade,1231 MADISON AVE,NEW YORK,10128,,,,
Springfield Gardens Medical Center,134-64 SPRINGFIELD BOULEVARD,QUEENS,11413,,,,
Walgreens Drug Store,145 4th Avenue,Manhattan,10003,,,,
Long Island City Chemists,30-12 36th Avenue,Long Island City,11106,,,,
Duane Reade,144 BLEECKER ST,NEW YORK,10012,,,,
Duane Reade,1498 YORK AVE,NEW YORK,10075,,,,
CVS,241 WEST 57TH ST.,NEW YORK,10019,,,,
Stop and Shop Pharmacy,156-01 Crossbay Blvd.,Howard Beach,11414,,,,
Rite Aid Pharmacy,5102 13th Avenue,Brooklyn,11219,,,,
Friendly Pharmacy ,389 Street 138th Street,Bronx,10454,,,,
Duane Reade,1 E KINGSBRIDGE RD,BRONX,10468,,,,
Duane Reade,425 MAIN ST,ROOSEVELT ISLAND,10044,,,,
Duane Reade,4228 MAIN ST,FLUSHING,11355,,,,
My Family Pharmacy,96-08 Norther Blvd.,Corona,11368,,,,
Duane Reade,296 FLATBUSH AVE,BROOKLYN,11217,,,,
CVS,1070 FLATBUSH AVENUE,BROOKLYN,11226,,,,
Duane Reade,485 LEXINGTON AVE,NEW YORK,10017,,,,
Rite Aid Pharmacy,88 Featherbed Lane,Bronx,10452,,,,
Segundo Ruiz Belvis,545 EAST 142 STREET,BRONX,10454,,,,
Walgreens Drug Store,758 Arthur Kill Road,Staten Island,10312,,,,
RX 2000,2325 First Avenue,Manhattan,10035,,,,
Advantagecare Physicans Medical Office,169-27 137 AVENUE,169-27 137 AVENUE,11434,,,,
Duane Reade,386 FULTON ST,BROOKLYN,11201,,,,
Quick Stop Pharmacy ,7210 20th Avenue,Brooklyn,11204,,,,
CVS,224 EAST 161ST STREET,BRONX,10451,,,,
Walgreens Drug Store,149-28 14th Avenue,Queens,11357,,,,
Teresa Pharmacy,582 Rockaway Avenue,Brooklyn,11212,,,,
Rite Aid Pharmacy,27-07  Francis Lewis Blvd,Queens,11358,,,,
Duane Reade,611 AVENUE OF THE AMERICAS,NEW YORK,10011,,,,
Rite Aid Pharmacy,185 Kings Highway,Brooklyn,11223,,,,
Rite Aid Pharmacy,46-12  Greenpoint Avenue,Queens,11104,,,,
Advantagecare Physicans Medical Office,2832 LINDEN BOULEVARD,2832 LINDEN BOULEVARD,11208,,,,
Bakers Drugs ,205-73 Linden Blvd.,St.Albans,11412,,,,
Coney Island Hospital Center,2601 OCEAN PARKWAY,BROOKLYN,11235,,,,
Rite Aid Pharmacy,1299 2nd Avenue,Manhattan,10065,,,,
Care FaStreet Pharmacy Inc.,3771 Nostrand Avenue,Brooklyn,11235,,,,
CVS,1571 FOREST AVE.,STATEN ISLAND,10302,,,,
CVS,420 FIFTH AVE,NEW YORK,10018,,,,
Duane Reade,13602 ROOSEVELT AVE,FLUSHING,11354,,,,
Advantagecare Physicans Medical Office,195 MONTAGUE STREET,195 MONTAGUE STREET,11201,,,,
Duane Reade,630 FOREST AVE,STATEN ISLAND,10310,,,,
CVS,1294 LEXINGTON AVE.,NEW YORK,10128,,,,
Noorwood Pharmacy LLC,2490 Fredrick Douglas Blvd.,Manhattan,10030,,,,
Apnar Pharmacy Inc.,168-01 Hillside Avenue,Jamaica,11432,,,,
Duane Reade,2107 RICHMOND RD,STATEN ISLAND,10306,,,,
Rite Aid Pharmacy,66-54  Fresh Pond Road,Queens,11385,,,,
Duane Reade,630 3RD AVE,NEW YORK,10017,,,,
CVS,"1241 LEXINGTON AVE,",NEW YORK,10028,,,,
Duane Reade,4801 QUEENS BLVD,WOODSIDE,11377,,,,
CVS,65 5TH AVE.,NEW YORK,10003,,,,
Rite Aid Pharmacy,301 West 50th Street,Manhattan,10019,,,,
Harlem Rx,102 West 116th Street,Manhattan,10026,,,,
Union Scripts,180-30 Union Turnpike,Queens,11366,,,,
Duane Reade,1370 AVENUE OF THE AMERICAS,NEW YORK,10019,,,,
Variety Drugs (Brothers Pharmacy),169-33 137th Avenue,Jamaica,11434,,,,
Corona HC *Special Event*,34-33 Junction Blvd,QUEENS,11372,,,,
Embassy Drugs,1873 Amsterdam Avenue,Manhattan,10031,,,,
CVS,310 E. GUN HILL RD.,BRONX,10467,,,,
Duane Reade,1010 ROSSVILLE AVE,STATEN ISLAND,10309,,,,
Duane Reade,3090 OCEAN AVE,BROOKLYN,11235,,,,
Duane Reade,1637 YORK AVE,NEW YORK,10028,,,,
Rite Aid Pharmacy,31-14  30th Avenue,Queens,11102,,,,
New Ronson Drugs,237 Utica Avenue,Brooklyn,11213,,,,
CVS,156 HENRY STREET,BROOKLYN,11201,,,,
Duane Reade,4 AMSTERDAM AVE,NEW YORK,10023,,,,
Duane Reade,636 BROADWAY,NEW YORK,10012,,,,
Rite Aid Pharmacy,210 Amsterdam Ave,Manhattan,10023,,,,
Duane Reade,125-133 3RD AVE,NEW YORK,10003,,,,
CVS,732 ALLERTON AVENUE,BRONX,10467,,,,
Knickerbocker Chemists,360 Knickerbocker Avenue,Brooklyn,11237,,,,
Rite Aid Pharmacy,19-23  Utopia Parkway,Queens,11357,,,,
Rite Aid Pharmacy,309 West 125th Street,Manhattan,10027,,,,
Duane Reade,666 COURTLANDT AVE,BRONX,10451,,,,
CVS,222 EAST 34TH STREET,NEW YORK,10016,,,,
Ridgewood Medical Center,769 ONDERDONK AVENUE,QUEENS,11385,,,,
McGraw Pharmacy,2048 McGraw Avenue,Bronx,10462,,,,
United Pharmacy,5539 Broadway,Bronx,10463,,,,
Duane Reade,1524 2ND AVE,NEW YORK,10075,,,,
Advantagecare Physicans Medical Office,570 GRAND STREET,570 GRAND STREET,10002,,,,
Sutter Avenue Child Health Center,1091 SUTTER AVENUE,BROOKLYN,11208,,,,
Thriftway Pharmacy,646 10th Avenue,Manhattan,10036,,,,
Advantagecare Physicans Medical Office,4771 HYLAN BOULEVARD,4771 HYLAN BOULEVARD,10312,,,,
Duane Reade,300 W 135TH ST,NEW YORK,10030,,,,
CVS,"27 N. 6TH ST.,",BROOKLYN,11249,,,,
Duane Reade,2069 BROADWAY,NEW YORK,10023,,,,
Rite Aid Pharmacy,186-16 Union Turnpike,Queens,11366,,,,
Duane Reade,155 E 34TH ST,NEW YORK,10016,,,,
Rite Aid Pharmacy,7118 3rd Avenue,Brooklyn,11209,,,,
Rite Aid Pharmacy,3539 Broadway,Manhattan,10031,,,,
Rite Aid Pharmacy,1679 Bedford Avenue,Brooklyn,11225,,,,
Rite Aid Pharmacy,2833 Broadway,Manhattan,10025,,,,
Duane Reade,976 AMSTERDAM AVE,NEW YORK,10025,,,,
Metropolitan Hospital,1901 FIRST AVENUE,MANHATTAN,10029,,,,
CVS,253 FIRST AVENUE,NEW YORK,10003,,,,
Stop and Shop Pharmacy,2754 Hyland Boulavard,Staten Island,10306,,,,
Saltzman Chemists (JPPA Pharmacy),149-19 Union Turnpike,Queens,11367,,,,
Duane Reade,4702 5TH ST,LONG ISLAND CITY,11101,,,,
Duane Reade,5411 MYRTLE AVE,RIDGEWOOD,11385,,,,
CVS,219-39 89TH AVENUE,QUEENS VILLAGE,11427,,,,
Duane Reade,6002 ROOSEVELT AVE,WOODSIDE,11377,,,,
Walgreens Drug Store,33-55 Crescent Street,Queens,11106,,,,
Sols Pharmacy,1515 Southern Blvd.,Bronx,10460,,,,
Accurate Pharmacy,639 5th Avenue,Brooklyn,11215,,,,
Sea View Hospital Rehabilitation Center,460 BRIELLE AVENUE,STATEN ISLAND,10314,,,,
Harpell Chemists Inc.,12-65 150 Street,Whitestone,11357,,,,
CVS,2925 KINGS HIGHWAY,BROOKLYN,11229,,,,
Manhattan City Pharmacy,206 1st Avenue,Manhattan,10009,,,,
CVS,130 LENOX AVE.,NEW YORK,10026,,,,
Rite Aid Pharmacy,911 Morris Park Avenue,Bronx,10462,,,,
XIP Harpell Pharmacy,2134 Broadway,Astoria,11106,,,,
Malcolm Pharmacy,160 Lenox Avenue,New York,10026,,,,
Dipna Rx,2688 Third Avenue,Bronx,10454,,,,
CVS,694 BURKE AVE,BRONX,10467,,,,
City Drug & Surgical,2039 Amsterdam Avenue,Manhattan,10032,,,,
Duane Reade,52 E 14TH ST,NEW YORK,10003,,,,
Walgreens Drug Store,2504 Eastchester Road,Bronx,10469,,,,
Uptown Care Pharmacy,2254 2nd Avenue,Manhattan,10029,,,,
Rite Aid Pharmacy,1950 Fulton Street,Brooklyn,11233,,,,
Hill Pharmacy,53-82 65th Place,Maspeth,11378,,,,
Rite Aid Pharmacy,168 Montague Street,Brooklyn,11201,,,,
CVS,40 W 225TH ST,BRONX,10463,,,,
Astoria ACT Program,12-26 31 AVENUE,ASTORIA,11106,,,,
Rite Aid Pharmacy,21-25  Broadway,Queens,11106,,,,
CVS,6702 FT. HAMILTON PARKWAY,BROOKLYN,11219,,,,
Rite Aid Pharmacy,4910 Broadway,Manhattan,10034,,,,
Duane Reade,8101 BROADWAY,ELMHURST,11373,,,,
Duane Reade,4 COLUMBUS CIR,NEW YORK,10019,,,,
Kings County Hospital Center,451 CLARKSON AVENUE,BROOKLYN,11203,,,,
Rite Aid Pharmacy,583 Grandview Avenue,Queens,11385,,,,
Costco Pharmacy,32-50 Vernon Blvd 11106,Queens,11106,,,,
Elmhurst Hospital,79-01 BROADWAY,QUEENS,11373,,,,
Stop and Shop Pharmacy,2136 Bartow Avenue,Bronx,10475,,,,
Rite Aid Pharmacy,6900 4th Avenue,Brooklyn,11209,,,,
Walgreens Drug Store,1759 Hylan Boulevard,Staten Island,10305,,,,
East NY Center,2094 PITKIN AVENUE,BROOKLYN,11207,,,,
Walgreens Drug Store,82-77  Broadway,Queens,11373,,,,
CVS,750 AVENUE OF AMERICAS,NEW YORK,10010,,,,
CVS,501 FOREST AVE.,STATEN ISLAND,10310,,,,
Woori Pharmacy,219-15B Northern Blvd.,Bayside,11361,,,,
CVS,300 PARK AVE. SOUTH,NEW YORK,10010,,,,
La Clinica Del Barrio ,413 EAST 120 STREET,MANHATTAN,10035,,,,
Avenue C Pharmacy,178 Avenue C,Manhattan,10009,,,,
Rite Aid Pharmacy,355 Knickerbocker Avenue,Brooklyn,11237,,,,
Adelphi Drug Streetore,3350 Fulton Street,Brooklyn,11208,,,,
Duane Reade,135 E 125TH ST,NEW YORK,10035,,,,
Rite Aid Pharmacy,4046 Broadway,Manhattan,10032,,,,
Advantagecare Physicans Medical Office,31-75 23 STREET,31-75 23 STREET,11106,,,,
Coler Rehabiltation & Nursing Care Center,900 MAIN STREET,MANHATTAN,10044,,,,
Duane Reade,325 COLUMBUS AVE,NEW YORK,10023,,,,
Duane Reade,5711 MYRTLE AVE,RIDGEWOOD,11385,,,,
King Community Pharmacy,161 Dreiser Loop,Bronx,10475,,,,
Stop and Shop Pharmacy,70-20 Rockaway Beach Blvd.,Averne by the Sea,11692,,,,
Duane Reade,2858 STEINWAY ST,ASTORIA,11103,,,,
Duane Reade,130 WILLIAM ST,NEW YORK,10038,,,,
Daniel Webster Houses ,401 EAST 168 STREET,BRONX,10456,,,,
CVS,1223 2ND AVENUE,NEW YORK,10065,,,,
Duane Reade,775 COLUMBUS AVE,NEW YORK,10025,,,,
Walgreens Drug Store,1328 2nd Avenue,Manhattan,10021,,,,
Duane Reade,1 WHITEHALL ST,NEW YORK,10004,,,,
Rite Aid Pharmacy,537 East 138th Street,Bronx,10454,,,,
Rite Aid Pharmacy,2271 Richmond Avenue,Staten Island,10314,,,,
CVS,158 BLEECKER STREET,NEW YORK,10012,,,,
Duane Reade,931 1ST AVE,NEW YORK,10022,,,,
Brownsville Child Health Center,259 BRISTOL STREET,BROOKLYN,11212,,,,
Walgreens Drug Store,1160 3rd Avenue,Manhattan,10065,,,,
Duane Reade,254 PARK AVE S,NEW YORK,10010,,,,
Mt. Carmel Pharmacy,205 East 187 Street,Bronx,10458,,,,
Rite Aid Pharmacy,2712 Broadway,Manhattan,10025,,,,
Century Pharmacy ,302a Grand Street,Manhattan,10002,,,,
Walgreens Drug Store,132-50 Metropolitan Avenue,Queens,11418,,,,
CVS,2045 FOREST AVE.,STATEN ISLAND,10303,,,,
Park Chemist,164 5th Avenue,Brooklyn,11217,,,,
Robert Couche Senior Citizens Center,137-57 FARMERS BOULEVARD,QUEENS,11434,,,,
Rite Aid Pharmacy,237 Avenue U,Brooklyn,11223,,,,
Walgreens Drug Store,103-14 Roosevelt Avenue,Queens,11368,,,,
Rite Aid Pharmacy,109-07 101st Avenue,Queens,11419,,,,
CVS,778 MANOR ROAD,STATEN ISLAND,10314,,,,
Rite Aid Pharmacy,33-01  30th Avenue,Queens,11103,,,,
CVS,218 MYRTLE AVE.,BROOKLYN,11201,,,,
Walgreens Drug Store,93-12  Astoria Boulevard,Queens,11369,,,,
Belle Harbor Chemists,449 Beach 129th Street,Belle Harbor,11694,,,,
Aausadm Inc.,4615 5th Avenue,Brooklyn,11220,,,,
Duane Reade,67 BROAD ST,NEW YORK,10004,,,,
Bayridge Pharmacy (SBSC II),7119 5th Avenue,Brooklyn,11209,,,,
Rite Aid Pharmacy,122-02 Liberty Avenue,Queens,11419,,,,
Smith Communicare Health Center,60 MADISON STREET,MANHATTAN,10038,,,,
CVS,272 8TH AVENUE,NEW YORK,10011,,,,
Healthmax Pharmacy Corporation,80-07 Jamaica Avenue,WoodhavenBlvd.,11421,,,,
Walgreens Drug Store,20 Astor Place,Manhattan,10003,,,,
Good Health Pharmacy,79-28 Jamaica Avenue,Woodhaven Blvd.,11421,,,,
Advantagecare Physicans Medical Office,52 DUANE STREET,52 DUANE STREET,10007,,,,
Duane Reade,51 W 51ST ST,NEW YORK,10019,,,,
CVS,1125 BAY STREET,STATEN ISLAND,10305,,,,
Duane Reade,873 BROADWAY,NEW YORK,10003,,,,
Rite Aid Pharmacy,783 Manhattan Avenue,Brooklyn,11222,,,,
Duane Reade,19815 HORACE HARDING EXPY,FRESH MEADOWS,11365,,,,
Duane Reade,1350 BROADWAY,NEW YORK,10018,,,,
CVS,338 EAST 23RD ST.,NEW YORK,10010,,,,
Metro Pharmacy II,103-11 Metropolitan Avenue,Forrest Hills,11375,,,,
NY Northern Pharmacy,164-16 Northern Blvd,Flushing,11358,,,,
Rite Aid Pharmacy,71-14  Austin Street,Queens,11375,,,,
Duane Reade,1181 LIBERTY AVE,BROOKLYN,11208,,,,
Madison Avenue Pharmacy,1407 Madison Avenue,Manhattan,10029,,,,
Walgreens Drug Store,44-15 Kissena Boulevard,Queens,11355,,,,
Advantagecare Physicans Medical Office,140-15 SANFORD AVENUE,140-15 SANFORD AVENUE,11355,,,,
Advantagecare Physicans Medical Office,447 ATLANTIC AVENUE,447 ATLANTIC AVENUE,11217,,,,
Sydenham Health Center ,264 WEST 118 STREET,MANHATTAN,10026,,,,
Walgreens Drug Store,1404 Rockaway Parkway,Brooklyn,11236,,,,
Costco Pharmacy,976 3rd Avenue,Brooklyn,11232,,,,
Rite Aid Pharmacy,950 Southern Blvd,Bronx,10459,,,,
CVS,6831 BAY PARKWAY,BROOKLYN,11204,,,,
Costco Pharmacy,517 Street 117th Street,Manhattan,10035,,,,
Duane Reade,1675 3RD AVE,NEW YORK,10128,,,,
Duane Reade,436 86TH ST,BROOKLYN,11209,,,,
CVS,115 W. 125TH STREET,NEW YORK,10027,,,,
Central ATA Inc.,3348 Central Avenue,Brooklyn,11221,,,,
Duane Reade,180 W 20TH ST,NEW YORK,10011,,,,
Kmart Pharamcy,770 broadway,Manhattan,10003,,,,
Duane Reade,1327 YORK AVE,NEW YORK,10021,,,,
CVS,"1622 THIRD AVE, BOROUGH OF MANHATTAN",NEW YORK,10128,,,,
Square Deal Pharmacy,437 Mother Gaston Blvd.,Brooklyn,11212,,,,
Rite Aid Pharmacy,43-20  Bell Blvd,Queens,11361,,,,
Catalpa Chemists,57-01 Catalpa Avenue,Ridgewood ,11385,,,,
Gristides Pharmacy,227 9th Avenue,Manhattan,10011,,,,
Bedford Stuyvesant Alcoholism Treatment Center ,722 MYRTLE AVENUE,BROOKLYN,11205,,,,
Rite Aid Pharmacy,3901 White Plains Road,Bronx,10466,,,,
Rite Aid Pharmacy,1631 Pitkin Ave,Brooklyn,11212,,,,
Duane Reade,6656 GRAND AVE,MASPETH,11378,,,,
Homecrest HC *Special Event*,1601 Avenue S,BROOKLYN,11229,,,,
CVS,50-56 EAST 167TH ST.,BRONX,10452,,,,
Pilgrim Pharmacy Inc.,2941 Westchester Avenue,Bronx,10461,,,,
Carter Specialty Hospital & Nursing Facility,1752 PARK AVENUE,MANHATTAN,10035,,,,
Ellahi Drugs Corp,321 Wyckoff Avenue,Ridgewood,11385,,,,
Sedgwick Pharmacy,3887 Sedgwick Avenue,Bronx,10463,,,,
Duane Reade,77 7TH AVE,NEW YORK,10011,,,,
Twin Parks Pharmacy,817 East 180 Street,Bronx,10460,,,,
Rite Aid Pharmacy,462 Fifth Avenue,Brooklyn,11215,,,,
Duane Reade,4 W 4TH ST,NEW YORK,10012,,,,
Rite Aid Pharmacy,534 Hudson Street,Manhattan,10014,,,,
Duane Reade,1352 1ST AVE,NEW YORK,10021,,,,
Duane Reade,724 FLATBUSH AVE,BROOKLYN,11226,,,,
Burke Avenue Pharmacy,759 Burke Avenue,Bronx,10467,,,,
Duane Reade,8432 JAMAICA AVE,WOODHAVEN,11421,,,,
Duane Reade,60 SPRING ST,NEW YORK,10012,,,,
Rite Aid Pharmacy,1179 East 233rd Street,Bronx,10466,,,,
Duane Reade,900 8TH AVE,NEW YORK,10019,,,,
Duane Reade,125 E 86TH ST,NEW YORK,10028,,,,
Stella's Pharmacy,8722 Glenwood Road,Brooklyn,11236,,,,
Rite Aid Pharmacy,46-12  Greenpoint Avenue,Queens,11104,,,,
Rite Aid Pharmacy,2158 White Plains Road,Bronx,10462,,,,
Rite Aid Pharmacy,6101 18th Avenue,Brooklyn,11204,,,,
CVS,"4055 HYLAN BLVD,",STATEN ISLAND,10308,,,,
Rite Aid Pharmacy,7812 Flatlands Avenue,Brooklyn,11236,,,,
CVS,298 MULBERRY ST.,NEW YORK,10012,,,,
CVS,800 10TH AVE.,NEW YORK,10019,,,,
Duane Reade,"10 Union Sq., E., #2050",NEW YORK,10003,,,,
Duane Reade,300 E 23rd St.,NEW YORK,10010,,,,
Rite Aid Pharmacy,3001 Mermaid Avenue,Brooklyn,11224,,,,
Medex Pharmacy (M&A Corp),9602 Jamaica Avenue,Queens,11421,,,,
Walgreens Drug Store,3082 Avenue U,Brooklyn,11229,,,,
Duane Reade,111 WORTH ST,NEW YORK,10013,,,,
Rite Aid Pharmacy,2426 Eastchester Road,Bronx,10469,,,,
Duane Reade,1111 3RD AVE,NEW YORK,10065,,,,
Walgreens Drug Store,122 East 86th Street,Manhattan,10028,,,,
Duane Reade,773 LEXINGTON AVE,NEW YORK,10065,,,,
Kassell Pharmacy,218-11 Jamaica Avenue,Queens Village,11428,,,,
CVS,360 6TH AVENUE,NEW YORK,10011,,,,
Walgreens Drug Store,2431 Boston Road,Bronx,10467,,,,
Neergaard NYC Inc,1520 1st Avenue,Manhattan,10075,,,,
Rite Aid Pharmacy,5237 Broadway,Bronx,10463,,,,
Broadway Pharmacy #2,3621 Broadway,Manhattan,10031,,,,
Rite Aid Pharmacy,282 8th Avenue,Manhattan,10001,,,,
Duane Reade,2931 AVENUE U,BROOKLYN,11229,,,,
Queens Hospital Center,82-68 164 STREET,QUEENS,11432,,,,
JSN Pharmacy,1220 Morris Avenue,Bronx,10456,,,,
Rite Aid Pharmacy,35 West 125th Street,Manhattan,10027,,,,
Gena Care Pharmacy,173 Chauncey Street,Brooklyn,11233,,,,
Harpell Ditmars Pharmacy,33-08 Ditmars Blvd.,Astoria,11105,,,,
Duane Reade,1915 3RD AVE,NEW YORK,10029,,,,
Falak Pharmacy,2730 Tremont Avenue,Bronx,10461,,,,
Rite Aid Pharmacy,344 Avenue X,Brooklyn,11223,,,,
Duane Reade,2025 BROADWAY,NEW YORK,10023,,,,
Greenpoint Community Health Center ,875 MANHATTAN AVENUE,BROOKLYN,11222,,,,
Walgreens Drug Store,5001 Church Ave,Brooklyn,11203,,,,
Walgreens Drug Store,955 Manor Road,Staten Island,10314,,,,
Duane Reade,777 AVENUE OF THE AMERICAS,NEW YORK,10001,,,,
Trinity Rx,7521 Myrtle Avenue,Glendale,11385,,,,
CVS,565 WEST 235TH STREET,BRONX,10463,,,,
Rite Aid Pharmacy,7009 13th Avenue,Brooklyn,11228,,,,
Walgreens Drug Store,218-51 Hempstead Ave,Queens,11429,,,,
Rite Aid Pharmacy,2750 Boston Road,Bronx,10467,,,,
Gouverneur Healthcare Services,227 MADISON STREET,MANHATTAN,10002,,,,
Rite Aid Pharmacy,89-10  Jamaica Avenue,Queens,11421,,,,
Rite Aid Pharmacy,Grand Central Terminal,Manhattan,10017,,,,
Walgreens Drug Store,298 1st Avenue,Manhattan,10009,,,,
Gouverneur Nursing Facility,227 MADISON STREET,MANHATTAN,10002,,,,
Walgreens Drug Store,1721 Avenue U,Brooklyn,11229,,,,
Duane Reade,2409 BROADWAY,NEW YORK,10024,,,,
Walgreens Drug Store,3575 Boston Road,Bronx,10469,,,,
Walgreens Drug Store,755 Broadway,Brooklyn,11206,,,,
